188.70,123.58,67.419
191.25,125.25,66.749
193.80,126.92,66.079
196.35,128.59,65.409
198.90,130.26,64.739
201.45,131.93,64.069
204.00,133.60,63.399
206.55,135.27,62.729
209.10,136.94,62.059
211.65,138.61,61.389
214.20,140.28,60.719
216.75,141.95,60.049
219.30,143.62,59.379
221.85,145.29,58.709
224.40,146.96,58.039
226.95,148.63,57.369
229.50,150.30,56.699
232.05,151.97,56.029
234.60,153.64,55.359
237.15,155.31,54.689
239.70,156.98,54.019
242.25,158.65,53.349
244.80,160.32,52.679
247.35,161.99,52.009
249.90,163.66,51.339
252.45,165.33,50.669
255,167,50
253.89,167.74,52.05
252.8,168.48,54.1
251.7,169.22,56.15
250.6,169.95,58.2
249.5,170.70,60.25
248.39,171.44,62.3
247.29,172.18,64.35
246.2,172.92,66.4
245.1,173.66,68.449
243.99,174.39,70.499
242.89,175.14,72.549
241.79,175.87,74.6
240.69,176.61,76.649
239.59,177.35,78.699
238.49,178.1,80.75
237.39,178.83,82.8
236.29,179.57,84.85
235.19,180.31,86.9
234.09,181.06,88.95
232.99,181.79,91.0
231.89,182.54,93.050
230.79,183.27,95.100
229.69,184.01,97.15
228.59,184.76,99.2
227.49,185.49,101.25
226.39,186.23,103.3
225.29,186.97,105.35
224.19,187.71,107.4
223.09,188.45,109.45
221.99,189.2,111.50
